Symbol,Company Name
RELIANCE,Reliance Industries Limited
TCS,Tata Consultancy Services Limited
HDFCBANK,HDFC Bank Limited
INFY,Infosys Limited
HINDUNILVR,Hindustan Unilever Limited
HDFC,Housing Development Finance Corporation Limited
ICICIBANK,ICICI Bank Limited
KOTAKBANK,Kotak Mahindra Bank Limited
SBIN,State Bank of India
BAJFINANCE,Bajaj Finance Limited
BHARTIARTL,Bharti Airtel Limited
ITC,ITC Limited
HCLTECH,HCL Technologies Limited
ASIANPAINT,Asian Paints Limited
WIPRO,Wipro Limited
AXISBANK,Axis Bank Limited
MARUTI,Maruti Suzuki India Limited
LT,Larsen & Toubro Limited
ULTRACEMCO,UltraTech Cement Limited
DMART,Avenue Supermarts Limited
ADANIGREEN,Adani Green Energy Limited
BAJAJFINSV,Bajaj Finserv Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
HDFCLIFE,HDFC Life Insurance Company Limited
TITAN,Titan Company Limited
ONGC,Oil & Natural Gas Corporation Limited
HINDZINC,Hindustan Zinc Limited
ADANIENT,Adani Enterprises Limited
JSWSTEEL,JSW Steel Limited
POWERGRID,Power Grid Corporation of India Limited
SHREECEM,SHREE CEMENT LIMITED
BAJAJ-AUTO,Bajaj Auto Limited
ATGL,Adani Total Gas Limited
NTPC,NTPC Limited
TATAMOTORS,Tata Motors Limited
ADANITRANS,Adani Transmission Limited
M&M,Mahindra & Mahindra Limited
DIVISLAB,Divi's Laboratories Limited

TECHM,Tech Mahindra Limited
DABUR,Dabur India Limited
GRASIM,Grasim Industries Limited
BPCL,Bharat Petroleum Corporation Limited
PIDILITIND,Pidilite Industries Limited
TATASTEEL,Tata Steel Limited
SBILIFE,SBI Life Insurance Company Limited
BRITANNIA,Britannia Industries Limited
SBICARD,SBI Cards and Payment Services Limited
IOC,Indian Oil Corporation Limited
VEDL,Vedanta Limited
COALINDIA,Coal India Limited
DRREDDY,Dr. Reddy's Laboratories Limited
GODREJCP,Godrej Consumer Products Limited
BERGEPAINT,Berger Paints (I) Limited
INDUSINDBK,IndusInd Bank Limited
HINDALCO,Hindalco Industries Limited
EICHERMOT,Eicher Motors Limited
DLF,DLF Limited
LTI,Larsen & Toubro Infotech Limited
INDUSTOWER,Indus Towers Limited
HAVELLS,Havells India Limited
CIPLA,Cipla Limited
SIEMENS,Siemens Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
MOTHERSUMI,Motherson Sumi Systems Limited
INDIGO,InterGlobe Aviation Limited
HDFCAMC,HDFC Asset Management Company Limited
AMBUJACEM,Ambuja Cements Limited
GAIL,GAIL (India) Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
HEROMOTOCO,Hero MotoCorp Limited
NAUKRI,Info Edge (India) Limited
BANDHANBNK,Bandhan Bank Limited
MARICO,Marico Limited
AUROPHARMA,Aurobindo Pharma Limited
BIOCON,Biocon Limited
UPL,UPL Limited
MUTHOOTFIN,Muthoot Finance Limited

LUPIN,Lupin Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CADILAHC,Cadila Healthcare Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
COLPAL,Colgate Palmolive (India) Limited
HONAUT,Honeywell Automation India Limited
APOLLOHOSP,Apollo Hospitals Enterprise Limited
BOSCHLTD,Bosch Limited
IDBI,IDBI Bank Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
GLAND,Gland Pharma Limited
MCDOWELL-N,United Spirits Limited
NMDC,NMDC Limited
PEL,Piramal Enterprises Limited
GODREJPROP,Godrej Properties Limited
YESBANK,Yes Bank Limited
JUBLFOOD,Jubilant Foodworks Limited
PNB,Punjab National Bank
AUBANK,AU Small Finance Bank Limited
BANKBARODA,Bank of Baroda
GUJGASLTD,Gujarat Gas Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
CONCOR,Container Corporation of India Limited
SRTRANSFIN,Shriram Transport Finance Company Limited
IGL,Indraprastha Gas Limited
ACC,ACC Limited
JINDALSTEL,Jindal Steel & Power Limited
GICRE,General Insurance Corporation of India
MRF,MRF Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
MINDTREE,MindTree Limited
3MINDIA,3M India Limited
PIIND,PI Industries Limited
PAGEIND,Page Industries Limited
PETRONET,Petronet LNG Limited
ASHOKLEY,Ashok Leyland Limited
HAL,Hindustan Aeronautics Limited
MPHASIS,MphasiS Limited
VOLTAS,Voltas Limited
ALKEM,Alkem Laboratories Limited

TATAPOWER,Tata Power Company Limited
UBL,United Breweries Limited
ADANIPOWER,Adani Power Limited
BALKRISIND,Balkrishna Industries Limited
SAIL,Steel Authority of India Limited
ASTRAL,Astral Poly Technik Limited
KANSAINER,Kansai Nerolac Paints Limited
SRF,SRF Limited
IDFCFIRSTB,IDFC First Bank Limited
BEL,Bharat Electronics Limited
TATACOMM,Tata Communications Limited
PFC,Power Finance Corporation Limited
IRFC,Indian Railway Finance Corporation Limited
ABB,ABB India Limited
DALBHARAT,Dalmia Bharat Limited
MFSL,Max Financial Services Limited
VBL,Varun Beverages Limited
ABCAPITAL,Aditya Birla Capital Limited
SUNDARMFIN,Sundaram Finance Limited
WHIRLPOOL,Whirlpool of India Limited
IRCTC,Indian Railway Catering And Tourism Corporation Limited
LTTS,L&T Technology Services Limited
TVSMOTOR,TVS Motor Company Limited
BHARATFORG,Bharat Forge Limited
OFSS,Oracle Financial Services Software Limited
TRENT,Trent Limited
IDEA,Vodafone Idea Limited
IOB,Indian Overseas Bank
SUPREMEIND,Supreme Industries Limited
RECLTD,REC Limited
CUMMINSIND,Cummins India Limited
NIACL,The New India Assurance Company Limited
CANBK,Canara Bank
CROMPTON,Crompton Greaves Consumer Electricals Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
NHPC,NHPC Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
IPCALAB,IPCA Laboratories Limited
L&TFH,L&T Finance Holdings Limited
RAMCOCEM,The Ramco Cements Limited

INDIAMART,Indiamart Intermesh Limited
TIINDIA,Tube Investments of India Limited
AARTIIND,Aarti Industries Limited
COROMANDEL,Coromandel International Limited
DEEPAKNTR,Deepak Nitrite Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
JKCEMENT,JK Cement Limited
BANKINDIA,Bank of India
UNIONBANK,Union Bank of India
RELAXO,Relaxo Footwears Limited
SYNGENE,Syngene International Limited
LICHSGFIN,LIC Housing Finance Limited
EMAMILTD,Emami Limited
DIXON,Dixon Technologies (India) Limited
ATUL,Atul Limited
OBEROIRLTY,Oberoi Realty Limited
NAM-INDIA,Nippon Life India Asset Management Limited
PFIZER,Pfizer Limited
POLYCAB,Polycab India Limited
ENDURANCE,Endurance Technologies Limited
TORNTPOWER,Torrent Power Limited
MAXHEALTH,Max Healthcare Institute Limited
ZEEL,Zee Entertainment Enterprises Limited
LAURUSLABS,Laurus Labs Limited
AIAENG,AIA Engineering Limited
GILLETTE,Gillette India Limited
TATACHEM,Tata Chemicals Limited
AAVAS,Aavas Financiers Limited
RUCHI,Ruchi Soya Industries Limited
APLLTD,Alembic Pharmaceuticals Limited
SUNTV,Sun TV Network Limited
GODREJIND,Godrej Industries Limited
SANOFI,Sanofi India Limited
BATAINDIA,Bata India Limited
COFORGE,Coforge Limited
APLAPOLLO,APL Apollo Tubes Limited
ESCORTS,Escorts Limited
ABFRL,Aditya Birla Fashion and Retail Limited
SCHAEFFLER,Schaeffler India Limited
BHEL,Bharat Heavy Electricals Limited

SUNDRMFAST,Sundram Fasteners Limited
TATAELXSI,Tata Elxsi Limited
THERMAX,Thermax Limited
HATSUN,Hatsun Agro Product Limited
EXIDEIND,Exide Industries Limited
AJANTPHARM,Ajanta Pharma Limited
GSPL,Gujarat State Petronet Limited
LINDEINDIA,Linde India Limited
FEDERALBNK,The Federal Bank Limited
NATCOPHARM,Natco Pharma Limited
FORTIS,Fortis Healthcare Limited
KAJARIACER,Kajaria Ceramics Limited
MINDAIND,Minda Industries Limited
PERSISTENT,Persistent Systems Limited
GMRINFRA,GMR Infrastructure Limited
AMARAJABAT,Amara Raja Batteries Limited
SUMICHEM,Sumitomo Chemical India Limited
JSWENERGY,JSW Energy Limited
VINATIORGA,Vinati Organics Limited
APOLLOTYRE,Apollo Tyres Limited
RAJESHEXPO,Rajesh Exports Limited
AFFLE,Affle (India) Limited
MAHABANK,Bank of Maharashtra
NAVINFLUOR,Navin Fluorine International Limited
PHOENIXLTD,The Phoenix Mills Limited
CRISIL,CRISIL Limited
OIL,Oil India Limited
BLUEDART,Blue Dart Express Limited
INDHOTEL,The Indian Hotels Company Limited
GLENMARK,Glenmark Pharmaceuticals Limited
INDIANB,Indian Bank
SUVENPHAR,Suven Pharmaceuticals Limited
MANAPPURAM,Manappuram Finance Limited
ZYDUSWELL,Zydus Wellness Limited
VAIBHAVGBL,Vaibhav Global Limited
WABCOINDIA,WABCO India Limited
RBLBANK,RBL Bank Limited
CASTROLIND,Castrol India Limited
ISEC,ICICI Securities Limited
PRESTIGE,Prestige Estates Projects Limited

ALKYLAMINE,Alkyl Amines Chemicals Limited
SOLARINDS,Solar Industries India Limited
MGL,Mahanagar Gas Limited
CUB,City Union Bank Limited
METROPOLIS,Metropolis Healthcare Limited
INDIGOPNTS,Indigo Paints Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
BAJAJELEC,Bajaj Electricals Limited
AMBER,Amber Enterprises India Limited
SKFINDIA,SKF India Limited
TANLA,Tanla Platforms Limited
HINDCOPPER,Hindustan Copper Limited
UCOBANK,UCO Bank
IIFLWAM,Iifl Wealth Management Limited
JUBLPHARMA,Jubilant Pharmova Limited
VGUARD,V-Guard Industries Limited
ITI,ITI Limited
IIFL,IIFL Finance Limited
KEC,KEC International Limited
GRINDWELL,Grindwell Norton Limited
AEGISCHEM,Aegis Logistics Limited
AKZOINDIA,Akzo Nobel India Limited
CREDITACC,CREDITACCESS GRAMEEN LIMITED
QUESS,Quess Corp Limited
PGHL,Procter & Gamble Health Limited
SJVN,SJVN Limited
NATIONALUM,National Aluminium Company Limited
GODREJAGRO,Godrej Agrovet Limited
TTKPRESTIG,TTK Prestige Limited
ALOKINDS,Alok Industries Limited
GRAPHITE,Graphite India Limited
IEX,Indian Energy Exchange Limited
INTELLECT,Intellect Design Arena Limited
ORCHPHARMA,Orchid Pharma Limited
TIMKEN,Timken India Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
CARBORUNIV,Carborundum Universal Limited
SFL,Sheela Foam Limited
CENTRALBK,Central Bank of India
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited

MOTILALOFS,Motilal Oswal Financial Services Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
GALAXYSURF,Galaxy Surfactants Limited
SHRIRAMCIT,Shriram City Union Finance Limited
BLUESTARCO,Blue Star Limited
BASF,BASF India Limited
CGPOWER,CG Power and Industrial Solutions Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
DHANI,Dhani Services Limited
SYMPHONY,Symphony Limited
HUDCO,Housing & Urban Development Corporation Limited
KIOCL,KIOCL Limited
NBCC,NBCC (India) Limited
NH,Narayana Hrudayalaya Ltd.
ERIS,Eris Lifesciences Limited
CANFINHOME,Can Fin Homes Limited
ROUTE,ROUTE MOBILE LIMITED
WELSPUNIND,Welspun India Limited
JMFINANCIL,JM Financial Limited
DBL,Dilip Buildcon Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
FSL,Firstsource Solutions Limited
FINPIPE,Finolex Industries Limited
POLYMED,Poly Medicure Limited
CESC,CESC Limited
DCMSHRIRAM,DCM Shriram Limited
BBTC,Bombay Burmah Trading Corporation Limited
STLTECH,Sterlite Technologies Limited
STAR,Strides Pharma Science Limited
IDFC,IDFC Limited
ASAHIINDIA,Asahi India Glass Limited
ASTRAZEN,AstraZeneca Pharma India Limited
GRANULES,Granules India Limited
RADICO,Radico Khaitan Limited
VTL,Vardhman Textiles Limited
EPL,EPL Limited
PVR,PVR Limited
REDINGTON,Redington (India) Limited
UTIAMC,UTI Asset Management Company Limited
KPRMILL,K.P.R. Mill Limited

BIRLACORPN,Birla Corporation Limited
LAXMIMACH,Lakshmi Machine Works Limited
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
TRIDENT,Trident Limited
CYIENT,Cyient Limited
CENTURYPLY,Century Plyboards (India) Limited
BSOFT,BIRLASOFT LIMITED
KALYANKJIL,Kalyan Jewellers India Limited
FINEORG,Fine Organic Industries Limited
NLCINDIA,NLC India Limited
ASTERDM,Aster DM Healthcare Limited
EQUITASBNK,Equitas Small Finance Bank Limited
CDSL,Central Depository Services (India) Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
CGCL,Capri Global Capital Limited
PNCINFRA,PNC Infratech Limited
ORIENTELEC,Orient Electric Limited
PRSMJOHNSN,Prism Johnson Limited
AARTIDRUGS,Aarti Drugs Limited
TEAMLEASE,Teamlease Services Limited
MMTC,MMTC Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
INFIBEAM,Infibeam Avenues Limited
PNBHOUSING,PNB Housing Finance Limited
CEATLTD,CEAT Limited
GMMPFAUDLR,GMM Pfaudler Limited
SUNCLAYLTD,Sundaram Clayton Limited
ZENSARTECH,Zensar Technologies Limited
MAHINDCIE,Mahindra CIE Automotive Limited
BDL,Bharat Dynamics Limited
RVNL,Rail Vikas Nigam Limited
ELGIEQUIP,Elgi Equipments Limited
KNRCON,KNR Constructions Limited
SEQUENT,Sequent Scientific Limited
VAKRANGEE,Vakrangee Limited
EDELWEISS,Edelweiss Financial Services Limited
BRIGADE,Brigade Enterprises Limited
FINCABLES,Finolex Cables Limited
EIHOTEL,EIH Limited
POWERINDIA,ABB Power Products and Systems India Limited

RITES,RITES Limited
SIS,SIS LIMITED
TATASTLBSL,Tata Steel Bsl Limited
BALAMINES,Balaji Amines Limited
HEG,HEG Limited
AVANTIFEED,Avanti Feeds Limited
EIDPARRY,EID Parry India Limited
KALPATPOWR,Kalpataru Power Transmission Limited
VMART,V-Mart Retail Limited
ROSSARI,Rossari Biotech Limited
SONATSOFTW,Sonata Software Limited
JUSTDIAL,Just Dial Limited
HEIDELBERG,HeidelbergCement India Limited
GARFIBRES,Garware Technical Fibres Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
TATAINVEST,Tata Investment Corporation Limited
VSTIND,VST Industries Limited
BEML,BEML Limited
CENTURYTEX,Century Textiles & Industries Limited
INDIACEM,The India Cements Limited
SCI,Shipping Corporation Of India Limited
JKLAKSHMI,JK Lakshmi Cement Limited
CERA,Cera Sanitaryware Limited
JYOTHYLAB,Jyothy Labs Limited
VIPIND,VIP Industries Limited
SOLARA,Solara Active Pharma Sciences Limited
TV18BRDCST,TV18 Broadcast Limited
COCHINSHIP,Cochin Shipyard Limited
BURGERKING,Burger King India Limited
VARROC,Varroc Engineering Limited
RALLIS,Rallis India Limited
ANURAS,Anupam Rasayan India Limited
KPITTECH,KPIT Technologies Limited
FDC,FDC Limited
NCC,NCC Limited
RAIN,Rain Industries Limited
THYROCARE,Thyrocare Technologies Limited
GODFRYPHLP,Godfrey Phillips India Limited
KEI,KEI Industries Limited
GPPL,Gujarat Pipavav Port Limited

GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
MASFIN,MAS Financial Services Limited
LXCHEM,Laxmi Organic Industries Limited
GESHIP,The Great Eastern Shipping Company Limited
PRINCEPIPE,Prince Pipes And Fittings Limited
WOCKPHARMA,Wockhardt Limited
HATHWAY,Hathway Cable & Datacom Limited
BALRAMCHIN,Balrampur Chini Mills Limited
IFBIND,IFB Industries Limited
NAZARA,Nazara Technologies Limited
RESPONIND,Responsive Industries Limited
KARURVYSYA,Karur Vysya Bank Limited
LUXIND,Lux Industries Limited
ENGINERSIN,Engineers India Limited
DELTACORP,Delta Corp Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
JSWHL,JSW Holdings Limited
SUZLON,Suzlon Energy Limited
KRBL,KRBL Limited
MAHLOG,Mahindra Logistics Limited
IRCON,Ircon International Limited
SWSOLAR,Sterling And Wilson Solar Limited
SOBHA,Sobha Limited
JUBLINGREA,Jubilant Ingrevia Limited
SUNTECK,Sunteck Realty Limited
MAHSCOOTER,Maharashtra Scooters Limited
RAILTEL,Railtel Corporation Of India Limited
CSBBANK,CSB Bank Limited
BHARATRAS,Bharat Rasayan Limited
STARCEMENT,Star Cement Limited
SUPPETRO,Supreme Petrochem Limited
HOMEFIRST,Home First Finance Company India Limited
HEMIPROP,Hemisphere Properties India Limited
SPANDANA,Spandana Sphoorty Financial Limited
AGCNET,AGC Networks Limited
INDOSTAR,IndoStar Capital Finance Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
SUPRAJIT,Suprajit Engineering Limited
ECLERX,eClerx Services Limited

BAJAJCON,Bajaj Consumer Care Limited
IRB,IRB Infrastructure Developers Limited
NETWORK18,Network18 Media & Investments Limited
FACT,Fertilizers and Chemicals Travancore Limited
SPARC,Sun Pharma Advanced Research Company Limited
NESCO,Nesco Limited
IBREALEST,Indiabulls Real Estate Limited
TASTYBITE,Tasty Bite Eatables Limited
TCIEXP,TCI Express Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
WELCORP,Welspun Corp Limited
HGS,Hinduja Global Solutions Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
MOIL,MOIL Limited
PRAJIND,Praj Industries Limited
TATASTLLP,Tata Steel Long Products Limited
TECHNOE,Techno Electric & Engineering Company Limited
PAISALO,Paisalo Digital Limited
PRIVISCL,Privi Speciality Chemicals Limited
MIDHANI,Mishra Dhatu Nigam Limited
SWANENERGY,Swan Energy Limited
ITDC,India Tourism Development Corporation Limited
JSL,Jindal Stainless Limited
TRITURBINE,Triveni Turbine Limited
PHILIPCARB,Phillips Carbon Black Limited
JINDALPOLY,Jindal Poly Films Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
KSCL,Kaveri Seed Company Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
HFCL,HFCL Limited
DHANUKA,Dhanuka Agritech Limited
INOXLEISUR,INOX Leisure Limited
BORORENEW,BOROSIL RENEWABLES LIMITED
DCBBANK,DCB Bank Limited
ICRA,ICRA Limited
MTARTECH,Mtar Technologies Limited
KSB,Ksb Limited
TCNSBRANDS,TCNS Clothing Co. Limited
CCL,CCL Products (India) Limited
MASTEK,Mastek Limited

CAPLIPOINT,Caplin Point Laboratories Limited
ALLCARGO,Allcargo Logistics Limited
CHALET,Chalet Hotels Limited
CRAFTSMAN,Craftsman Automation Limited
EQUITAS,Equitas Holdings Limited
GET&D,GE T&D India Limited
MAGMA,Magma Fincorp Limited
MEGH,Meghmani Organics Limited
GREAVESCOT,Greaves Cotton Limited
JSLHISAR,Jindal Stainless (Hisar) Limited
GAEL,Gujarat Ambuja Exports Limited
LEMONTREE,Lemon Tree Hotels Limited
MAHLIFE,Mahindra Lifespace Developers Limited
NILKAMAL,Nilkamal Limited
SURYODAY,Suryoday Small Finance Bank Limited
NOCIL,NOCIL Limited
ASHOKA,Ashoka Buildcon Limited
MHRIL,Mahindra Holidays & Resorts India Limited
SAREGAMA,Saregama India Limited
TTML,Tata Teleservices (Maharashtra) Limited
ESABINDIA,Esab India Limited
UFLEX,UFLEX Limited
SHILPAMED,Shilpa Medicare Limited
ORIENTREF,Orient Refractories Limited
POLYPLEX,Polyplex Corporation Limited
JAMNAAUTO,Jamna Auto Industries Limited
JKTYRE,JK Tyre & Industries Limited
NEULANDLAB,Neuland Laboratories Limited
NFL,National Fertilizers Limited
INDOCO,Indoco Remedies Limited
ALEMBICLTD,Alembic Limited
ICIL,Indo Count Industries Limited
SHARDACROP,Sharda Cropchem Limited
TATAMETALI,Tata Metaliks Limited
BSE,BSE Limited
UJJIVAN,Ujjivan Financial Services Limited
JKPAPER,JK Paper Limited
GPIL,Godawari Power And Ispat limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
HERANBA,Heranba Industries Limited

LAOPALA,La Opala RG Limited
RUPA,Rupa & Company Limited
RAYMOND,Raymond Limited
MINDACORP,Minda Corporation Limited
HCG,Healthcare Global Enterprises Limited
ANGELBRKG,Angel Broking Limited
JINDALSAW,Jindal Saw Limited
KIRLOSENG,Kirloskar Oil Engines Limited
SHOPERSTOP,Shoppers Stop Limited
DEN,Den Networks Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
BEPL,Bhansali Engineering Polymers Limited
FRETAIL,Future Retail Limited
PTC,PTC India Limited
HIL,HIL Limited
IFCI,IFCI Limited
RELIGARE,Religare Enterprises Limited
GREENLAM,Greenlam Industries Limited
SCHNEIDER,Schneider Electric Infrastructure Limited
EASEMYTRIP,Easy Trip Planners Limited
TATACOFFEE,Tata Coffee Limited
JPPOWER,Jaiprakash Power Ventures Limited
RAMCOIND,Ramco Industries Limited
GDL,Gateway Distriparks Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
MATRIMONY,Matrimony.Com Limited
VENKEYS,Venky's (India) Limited
UNICHEMLAB,Unichem Laboratories Limited
GHCL,GHCL Limited
INGERRAND,Ingersoll Rand (India) Limited
SUVIDHAA,Suvidhaa Infoserve Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
HUHTAMAKI,Huhtamaki India Limited
REPCOHOME,Repco Home Finance Limited
MSTCLTD,Mstc Limited
VRLLOG,VRL Logistics Limited
GREENPLY,Greenply Industries Limited
JTEKTINDIA,Jtekt India Limited
MARKSANS,Marksans Pharma Limited
TRIVENI,Triveni Engineering & Industries Limited

ATFL,Agro Tech Foods Limited
SUBROS,Subros Limited
NEOGEN,Neogen Chemicals Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
ORIENTCEM,Orient Cement Limited
SUBEXLTD,Subex Limited
JBMA,JBM Auto Limited
BANARISUG,Bannari Amman Sugars Limited
NEWGEN,Newgen Software Technologies Limited
BECTORFOOD,Mrs. Bectors Food Specialities Limited
TCI,Transport Corporation of India Limited
OAL,Oriental Aromatics Limited
ASTEC,Astec LifeSciences Limited
GREENPANEL,Greenpanel Industries Limited
SHIL,Somany Home Innovation Limited
NIITLTD,NIIT Limited
EVEREADY,Eveready Industries India Limited
VESUVIUS,Vesuvius India Limited
RENUKA,Shree Renuka Sugars Limited
HGINFRA,H.G. Infra Engineering Limited
GEPIL,GE Power India Limited
BOROLTD,Borosil Limited
KIRLOSBROS,Kirloskar Brothers Limited
KTKBANK,The Karnataka Bank Limited
SURYAROSNI,Surya Roshni Limited
DAAWAT,LT Foods Limited
MAYURUNIQ,Mayur Uniquoters Ltd
THOMASCOOK,Thomas Cook (India) Limited
MAHSEAMLES,Maharashtra Seamless Limited
NAVNETEDUL,Navneet Education Limited
DFMFOODS,DFM Foods Limited
J&KBANK,The Jammu & Kashmir Bank Limited
APARINDS,Apar Industries Limited
SOMANYCERA,Somany Ceramics Limited
CAMLINFINE,Camlin Fine Sciences Limited
ADFFOODS,ADF Foods Limited
OLECTRA,Olectra Greentech Limited
SHRIPISTON,Shriram Pistons & Rings Limited
HIKAL,Hikal Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited

ACE,Action Construction Equipment Limited
PILANIINVS,Pilani Investment and Industries Corporation Limited
HSCL,Himadri Speciality Chemical Limited
PDSMFL,PDS Multinational Fashions Limited
KOLTEPATIL,Kolte - Patil Developers Limited
PFOCUS,Prime Focus Limited
DCAL,Dishman Carbogen Amcis Limited
ARVIND,Arvind Limited
DISHTV,Dish TV India Limited
JPASSOCIAT,Jaiprakash Associates Limited
TINPLATE,The Tinplate Company of India Limited
SAGCEM,Sagar Cements Limited
RKFORGE,Ramkrishna Forgings Limited
PSPPROJECT,PSP Projects Limited
PURVA,Puravankara Limited
AMRUTANJAN,Amrutanjan Health Care Limited
JAGRAN,Jagran Prakashan Limited
INEOSSTYRO,INEOS Styrolution India Limited
HESTERBIO,Hester Biosciences Limited
RAMCOSYS,Ramco Systems Limited
WELENT,Welspun Enterprises Limited
ANANTRAJ,Anant Raj Limited
AUTOAXLES,Automotive Axles Limited
WSTCSTPAPR,West Coast Paper Mills Limited
SWARAJENG,Swaraj Engines Limited
TVTODAY,TV Today Network Limited
SHK,S H Kelkar and Company Limited
DBCORP,D.B.Corp Limited
MAITHANALL,Maithan Alloys Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
WABAG,VA Tech Wabag Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
INOXWIND,Inox Wind Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
JAICORPLTD,Jai Corp Limited
SARDAEN,Sarda Energy & Minerals Limited
TIDEWATER,Tide Water Oil Company (India) Limited
LUMAXIND,Lumax Industries Limited
SOUTHBANK,The South Indian Bank Limited
CHEMCON,Chemcon Speciality Chemicals Limited

STOVEKRAFT,Stove Kraft Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
GABRIEL,Gabriel India Limited
ORISSAMINE,The Orissa Minerals Development Company Limited
TEJASNET,Tejas Networks Limited
FILATEX,Filatex India Limited
JKIL,J.Kumar Infraprojects Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
MOREPENLAB,Morepen Laboratories Limited
HMT,HMT Limited
HIMATSEIDE,Himatsingka Seide Limited
IIFLSEC,IIFL Securities Limited
KIRIINDUS,Kiri Industries Limited
NUCLEUS,Nucleus Software Exports Limited
KSL,Kalyani Steels Limited
DIAMONDYD,Prataap Snacks Limited
SOTL,Savita Oil Technologies Limited
ARVINDFASN,Arvind Fashions Limited
CAPACITE,Capacit'e Infraprojects Limited
