Symbol,Company Name
RHFL,Reliance Home Finance Limited
VIPCLOTHNG,VIP Clothing Limited
ASIANHOTNR,Asian Hotels (North) Limited
SHYAMCENT,Shyam Century Ferrous Limited
BETA,Beta Drugs Limited
MGEL,Mangalam Global Enterprise Limited
MOLDTECH,Mold-Tek Technologies Limited
TCIDEVELOP,TCI Developers Limited
SHRENIK,Shrenik Limited
DRCSYSTEMS,DRC Systems India Limited
ALPHAGEO,Alphageo (India) Limited
SAKUMA,Sakuma Exports Limited
SAKHTISUG,Sakthi Sugars Limited
NOIDATOLL,Noida Toll Bridge Company Limited
NDRAUTO,Ndr Auto Components Limited
SMARTLINK,Smartlink Holdings Limited
HUBTOWN,Hubtown Limited
BPL,BPL Limited
FCSSOFT,FCS Software Solutions Limited
EMAMIREAL,Emami Realty Limited
DRSDILIP,DRS Dilip Roadlines Limited
PRIMESECU,Prime Securities Limited
UTTAMSTL,Uttam Galva Steels Limited
RAJMET,Rajnandini Metal Limited
DEEPENR,DEEP ENERGY RESOURCES LIMITED
SILVERTUC,Silver Touch Technologies Limited
KMSUGAR,K.M.Sugar Mills Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
MINDTECK,Mindteck (India) Limited
GRPLTD,GRP Limited
GPTINFRA,GPT Infraprojects Limited
DUCON,Ducon Infratechnologies Limited
PIONEEREMB,Pioneer Embroideries Limited

ICEMAKE,Ice Make Refrigeration Limited
MAANALU,Maan Aluminium Limited
KSOLVES,Ksolves India Limited
LSIL,Lloyds Steels Industries Limited
PRAXIS,Praxis Home Retail Limited
INNOVANA,Innovana Thinklabs Limited
PAVNAIND,Pavna Industries Limited
MURUDCERA,Murudeshwar Ceramics Limited
ARIES,Aries Agro Limited
IVP,IVP Limited
KAPSTON,Kapston Facilities Management Limited
ISFT,Intrasoft Technologies Limited
SOFTTECH,Softtech Engineers Limited
TEMBO,Tembo Global Industries Limited
TTL,T T Limited
RVHL,Ravinder Heights Limited
SPLIL,SPL Industries Limited
MOTOGENFIN,The Motor & General Finance Limited
ARROWGREEN,Arrow Greentech Limited
TRF,TRF Limited
GROBTEA,The Grob Tea Company Limited
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
ANSALAPI,Ansal Properties & Infrastructure Limited
PALREDTEC,Palred Technologies Limited
BHAGYAPROP,Bhagyanagar Properties Limited
RPPL,Rajshree Polypack Limited
INDOTECH,Indo Tech Transformers Limited
MACPOWER,Macpower CNC Machines Limited
PANSARI,Pansari Developers Limited
AMJLAND,Amj Land Holdings Limited
LGBFORGE,LGB Forge Limited
ADHUNIKIND,Adhunik Industries Limited
GSS,GSS Infotech Limited
SIGIND,Signet Industries Limited
CINELINE,Cineline India Limited
GILLANDERS,Gillanders Arbuthnot & Company Limited
OPTOCIRCUI,Opto Circuits (India) Limited
AKSHOPTFBR,Aksh Optifibre Limited
CORALFINAC,Coral India Finance & Housing Limited
OMAXAUTO,Omax Autos Limited

XPROINDIA,Xpro India Limited
SPECTRUM,Spectrum Electrical Industries Limited
LOTUSEYE,Lotus Eye Hospital and Institute Limited
JINDALPHOT,Jindal Photo Limited
OSIAHYPER,Osia Hyper Retail Limited
KERNEX,Kernex Microsystems (India) Limited
GTL,GTL Limited
KECL,Kirloskar Electric Company Limited
REMSONSIND,Remsons Industries Limited
GEEKAYWIRE,Geekay Wires Limited
URAVI,Uravi T and Wedge Lamps Limited
SVLL,Shree Vasu Logistics Limited
INDIANCARD,Indian Card Clothing Company Limited
ORIENTLTD,Orient Press Limited
MANAKCOAT,Manaksia Coated Metals & Industries Limited
ALMONDZ,Almondz Global Securities Limited
AARVI,Aarvi Encon Limited
INDOSOLAR,Indosolar Limited
PAR,Par Drugs and Chemicals Limited
BALPHARMA,Bal Pharma Limited
WORTH,Worth Peripherals Limited
ALPA,Alpa Laboratories Limited
ACCURACY,Accuracy Shipping Limited
WEIZMANIND,Weizmann Limited
VISASTEEL,Visa Steel Limited
HOVS,HOV Services Limited
LYKALABS,Lyka Labs Limited
SHIVAUM,Shiv Aum Steels Limited
PREMIERPOL,Premier Polyfilm Limited
SITINET,Siti Networks Limited
NDGL,Naga Dhunseri Group Limited
BYKE,The Byke Hospitality Ltd
JMA,Jullundur Motor Agency (Delhi) Limited
TEXMOPIPES,Texmo Pipes and Products Limited
KALYANIFRG,Kalyani Forge Limited
INTENTECH,Intense Technologies Limited
AKG,Akg Exim Limited
GOLDENTOBC,Golden Tobacco Limited
COMPUSOFT,Compucom Software Limited
KAMATHOTEL,Kamat Hotels (I) Limited

IL&FSTRANS,IL&FS Transportation Networks Limited
LCCINFOTEC,LCC Infotech Limited
PANACHE,Panache Digilife Limited
FMNL,Future Market Networks Limited
DSSL,Dynacons Systems & Solutions Limited
ABMINTLTD,ABM International Limited
PKTEA,The Peria Karamalai Tea & Produce Company Limited
BHARATGEAR,Bharat Gears Limited
SUPREMEENG,Supreme Engineering Limited
IZMO,IZMO Limited
CCHHL,Country Club Hospitality & Holidays Limited
TOKYOPLAST,Tokyo Plast International Limited
A2ZINFRA,A2Z Infra Engineering Limited
GAMMNINFRA,Gammon Infrastructure Projects Limited
MAHICKRA,Mahickra Chemicals Limited
KRITIKA,Kritika Wires Limited
ARCHIDPLY,Archidply Industries Limited
MUKTAARTS,Mukta Arts Limited
CMICABLES,CMI Limited
LIBAS,Libas Consumer Products Limited
VIKASECO,Vikas EcoTech Limited
AROGRANITE,Aro Granite Industries Limited
AUSOMENT,Ausom Enterprise Limited
TOTAL,Total Transport Systems Limited
DEVIT,Dev Information Technology Limited
RSSOFTWARE,R. S. Software (India) Limited
BANKA,Banka BioLoo Limited
SONAMCLOCK,Sonam Clock Limited
ARVEE,Arvee Laboratories (India) Limited
HISARMETAL,Hisar Metal Industries Limited
SICAL,Sical Logistics Limited
SRPL,Shree Ram Proteins Limited
PNC,Pritish Nandy Communications Limited
SHREERAMA,Shree Rama Multi-Tech Limited
GANGESSECU,Ganges Securities Limited
GOENKA,Goenka Diamond and Jewels Limited
BDR,BDR Buildcon Limited
SILGO,Silgo Retail Limited
TARMAT,Tarmat Limited
MCDHOLDING,McDowell Holdings Limited

JAKHARIA,JAKHARIA FABRIC LIMITED
AARON,Aaron Industries Limited
SICAGEN,Sicagen India Limited
PARIN,Parin Furniture Limited
SUNDARAM,Sundaram Multi Pap Limited
MANAKALUCO,Manaksia Aluminium Company Limited
ROLLT,Rollatainers Limited
E2E,E2E Networks Limited
LOKESHMACH,Lokesh Machines Limited
INDBANK,Indbank Merchant Banking Services Limited
DAMODARIND,Damodar Industries Limited
SURANAT&P,Surana Telecom and Power Limited
INDOTHAI,Indo Thai Securities Limited
IMAGICAA,Imagicaaworld Entertainment Limited
SAGARDEEP,Sagardeep Alloys Limited
SKIL,SKIL Infrastructure Limited
MITCON,MITCON Consultancy & Engineering Services Limited
WFL,Wonder Fibromats Limited
AVG,AVG Logistics Limited
SARVESHWAR,Sarveshwar Foods Limited
PRAENG,Prajay Engineers Syndicate Limited
GLOBALVECT,Global Vectra Helicorp Limited
ROLTA,Rolta India Limited
ATLANTA,Atlanta Limited
JYOTISTRUC,Jyoti Structures Limited
MOKSH,Moksh Ornaments Limited
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
NILASPACES,Nila Spaces Limited
STEELCITY,Steel City Securities Limited
ASAL,Automotive Stampings and Assemblies Limited
GODHA,Godha Cabcon & Insulation Limited
MORARJEE,Morarjee Textiles Limited
CORDSCABLE,Cords Cable Industries Limited
WIPL,The Western India Plywoods Limited
ALKALI,Alkali Metals Limited
LAMBODHARA,Lambodhara Textiles Limited
PRESSMN,Pressman Advertising Limited
PUNJLLOYD,Punj Lloyd Limited
CTE,Cambridge Technology Enterprises Limited
FLEXITUFF,Flexituff Ventures International Limited

RAJSREESUG,Rajshree Sugars & Chemicals Limited
GLOBE,Globe Textiles (India) Limited
BEDMUTHA,Bedmutha Industries Limited
SALONA,Salona Cotspin Limited
SURYALAXMI,Suryalakshmi Cotton Mills Limited
UJAAS,Ujaas Energy Limited
NITIRAJ,Nitiraj Engineers Limited
HPIL,Hindprakash Industries Limited
SUMEETINDS,Sumeet Industries Limited
PALASHSECU,Palash Securities Limited
TERASOFT,Tera Software Limited
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited
MRO-TEK,MRO-TEK Realty Limited
MRO,M.R. Organisation Limited
MTEDUCARE,MT Educare Limited
NIBL,NRB Industrial Bearings Limited
GANGAFORGE,Ganga Forging Limited
DCM,DCM Limited
TARACHAND,Tara Chand Logistic Solutions Limited
SURANASOL,Surana Solar Limited
MALUPAPER,Malu Paper Mills Limited
MHHL,Mohini Health & Hygiene Limited
SHRADHA,Shradha Infraprojects Limited
UNIVASTU,Univastu India Limited
ARSSINFRA,ARSS Infrastructure Projects Limited
MADHAV,Madhav Marbles and Granites Limited
MEGASOFT,Megasoft Limited
TIRUPATI,Shree Tirupati Balajee FIBC Limited
ENERGYDEV,Energy Development Company Limited
DGCONTENT,Digicontent Limited
CNOVAPETRO,CIL Nova Petrochemicals Limited
AARVEEDEN,Aarvee Denims & Exports Limited
PATINTLOG,Patel Integrated Logistics Limited
KANANIIND,Kanani Industries Limited
BAGFILMS,B.A.G Films and Media Limited
AIROLAM,Airo Lam limited
SANWARIA,Sanwaria Consumer Limited
NECCLTD,North Eastern Carrying Corporation Limited
ANIKINDS,Anik Industries Limited
ARTNIRMAN,Art Nirman Limited

BVCL,Barak Valley Cements Limited
SHAIVAL,Shaival Reality Limited
VARDMNPOLY,Vardhman Polytex Limited
SAMBHAAV,Sambhaav Media Limited
IL&FSENGG,IL&FS Engineering and Construction Company Limited
ZENITHEXPO,Zenith Exports Limited
KEYFINSERV,Keynote Financial Services Limited
MDL,Marvel Decor Limited
KHFM,Khfm Hospitality And Facility Management Services Limited
SERVOTECH,Servotech Power Systems Limited
GLOBAL,Global Education Limited
MADHUCON,Madhucon Projects Limited
SHIVAMILLS,Shiva Mills Limited
BANG,Bang Overseas Limited
AAATECH,Aaa Technologies Limited
SOMICONVEY,Somi Conveyor Beltings Limited
SPMLINFRA,SPML Infra Limited
MANUGRAPH,Manugraph India Limited
KRIDHANINF,Kridhan Infra Limited
TREJHARA,TREJHARA SOLUTIONS LIMITED
VAISHALI,Vaishali Pharma Limited
DELTAMAGNT,Delta Manufacturing Limited
CINEVISTA,Cinevista Limited
ARCHIES,Archies Limited
ASCOM,Ascom Leasing & Investments Limited
CENTEXT,Century Extrusions Limited
LGHL,Laxmi Goldorna House Limited
BSL,BSL Limited
INDOWIND,Indowind Energy Limited
BLBLIMITED,BLB Limited
AMDIND,AMD Industries Limited
SANGINITA,Sanginita Chemicals Limited
MKPL,M K Proteins Limited
AISL,ANI Integrated Services Limited
BANARBEADS,Banaras Beads Limited
BHANDARI,Bhandari Hosiery Exports Limited
ONEPOINT,One Point One Solutions Limited
VINNY,Vinny Overseas Limited
BCONCEPTS,Brand Concepts Limited
ANSALHSG,Ansal Housing Limited

TREEHOUSE,Tree House Education & Accessories Limited
AJOONI,Ajooni Biotech Limited
GAL,Gyscoal Alloys Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
VASWANI,Vaswani Industries Limited
LATTEYS,Latteys Industries Limited
EDUCOMP,Educomp Solutions Limited
SIMBHALS,Simbhaoli Sugars Limited
SUMIT,Sumit Woods Limited
UNITEDPOLY,United Polyfab Gujarat Limited
TIRUPATIFL,Tirupati Forge Limited
GIRIRAJ,Giriraj Civil Developers Limited
SANGHVIFOR,Sanghvi Forging and Engineering Limited
DCI,DC Infotech and Communication Limited
SIKKO,Sikko Industries Limited
PIGL,Power & Instrumentation (Gujarat) Limited
AURDIS,Aurangabad Distillery Limited
BEARDSELL,Beardsell Limited
TMRVL,The Mandhana Retail Ventures Limited
CELEBRITY,Celebrity Fashions Limited
VCL,Vaxtex Cotfab Limited
SALSTEEL,S.A.L. Steel Limited
UCL,Ushanti Colour Chem Limited
LPDC,Landmark Property Development Company Limited
SHANTI,Shanti Overseas (India) Limited
LAGNAM,Lagnam Spintex Limited
KGL,Karuturi Global Limited
NANDANI,Nandani Creation Limited
LFIC,Lakshmi Finance & Industrial Corporation Limited
ORTINLAB,Ortin Laboratories Limited
GUJRAFFIA,Gujarat Raffia Industries Limited
HINDCON,Hindcon Chemicals Limited
OILCOUNTUB,Oil Country Tubular Limited
LEXUS,Lexus Granito (India) Limited
PRITI,Priti International Limited
RELIABLE,Reliable Data Services Limited
KEERTI,Keerti Knowledge and Skills Limited
FOCUS,Focus Lighting and Fixtures Limited
CUBEXTUB,Cubex Tubings Limited
MERCATOR,Mercator Limited

HECPROJECT,HEC Infra Projects Limited
OMKARCHEM,Omkar Speciality Chemicals Limited
BRIGHT,Bright Solar Limited
AGROPHOS,Agro Phos India Limited
PEARLPOLY,Pearl Polymers Limited
GOLDSTAR,Goldstar Power Limited
NEXTMEDIA,Next Mediaworks Limited
AMBANIORG,Ambani Organics Limited
FELIX,Felix Industries Limited
HUSYSLTD,Husys Consulting Limited
SUPERSPIN,Super Spinning Mills Limited
EXCEL,Excel Realty N Infra Limited
SGL,STL Global Limited
METALFORGE,Metalyst Forgings Limited
DHARSUGAR,Dharani Sugars & Chemicals Limited
MANGTIMBER,Mangalam Timber Products Limited
BALKRISHNA,Balkrishna Paper Mills Limited
TIMESGTY,Times Guaranty Limited
KSHITIJPOL,Kshitij Polyline Limited
UNIINFO,Uniinfo Telecom Services Limited
PROLIFE,Prolife Industries Limited
ZODIAC,Zodiac Energy Limited
VIVIDHA,Visagar Polytex Limited
ROHITFERRO,Rohit Ferro-Tech Limited
JITFINFRA,JITF Infralogistics Limited
DIAPOWER,Diamond Power Infra Ltd
SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited
MMNL,MIG Media Neurons Limited
MUKANDENGG,Mukand Engineers Limited
RMCL,Radha Madhav Corporation Limited
WILLAMAGOR,Williamson Magor & Company Limited
COX&KINGS,Cox & Kings Limited
MILTON,Milton Industries Limited
NAGREEKEXP,Nagreeka Exports Limited
SILLYMONKS,Silly Monks Entertainment Limited
SOMATEX,Soma Textiles & Industries Limited
TIJARIA,Tijaria Polypipes Limited
SEZAL,Sezal Glass Limited
MAGNUM,Magnum Ventures Limited
AGRITECH,Agri-Tech (India) Limited

JETFREIGHT,Jet Freight Logistics Limited
SIGMA,Sigma Solve Limited
BURNPUR,Burnpur Cement Limited
AVSL,AVSL Industries Limited
RKDL,Ravi Kumar Distilleries Limited
LAXMICOT,Laxmi Cotspin Limited
MARSHALL,Marshall Machines Limited
ORIENTALTL,Oriental Trimex Limited
KHANDSE,Khandwala Securities Limited
SOLEX,Solex Energy Limited
WSI,W S Industries (I) Limited
ATALREAL,Atal Realtech Limited
SHAHALLOYS,Shah Alloys Limited
KKVAPOW,KKV Agro Powers Limited
ASLIND,ASL Industries Limited
GOLDTECH,Goldstone Technologies Limited
NATNLSTEEL,National Steel And Agro Industries Limited
GICL,Globe International Carriers Limited
VSCL,Vadivarhe Speciality Chemicals Limited
NITINFIRE,Nitin Fire Protection Industries Limited
VERA,Vera Synthetic Limited
ADROITINFO,Adroit Infotech Limited
UWCSL,Ultra Wiring Connectivity System Limited
KARMAENG,Karma Energy Limited
SEPOWER,S.E. Power Limited
SURANI,Surani Steel Tubes Limited
ADL,Archidply Decor Limited
COUNCODOS,Country Condo's Limited
SRIRAM,Shri Ram Switchgears Limited
3PLAND,3P Land Holdings Limited
INNOVATIVE,Innovative Tyres and Tubes Limited
INFOMEDIA,Infomedia Press Limited
ARIHANT,Arihant Foundations & Housing Limited
PATSPINLTD,Patspin India Limited
21STCENMGM,21st Century Management Services Limited
MIC,MIC Electronics Limited
CADSYS,Cadsys (India) Limited
ANKITMETAL,Ankit Metal & Power Limited
PRAKASHSTL,Prakash Steelage Limited
RMDRIP,R M Drip and Sprinklers Systems Limited

WEWIN,WE WIN LIMITED
SPYL,Shekhawati Poly-Yarn Limited
NARMADA,Narmada Agrobase Limited
NKIND,NK Industries Limited
MOHITIND,Mohit Industries Limited
GAYAHWS,Gayatri Highways Limited
SSINFRA,S.S. Infrastructure Development Consultants Limited
CALSOFT,California Software Company Limited
LYPSAGEMS,Lypsa Gems & Jewellery Limited
ZODJRDMKJ,Zodiac JRD- MKJ Limited
S&SPOWER,S&S Power Switchgears Limited
TGBHOTELS,TGB Banquets And Hotels Limited
AVROIND,AVRO INDIA LIMITED
CYBERMEDIA,Cyber Media (India) Limited
HBSL,HB Stockholdings Limited
EASTSILK,Eastern Silk Industries Limited
SHUBHLAXMI,Shubhlaxmi Jewel Art Limited
MITTAL,Mittal Life Style Limited
INDLMETER,IMP Powers Limited
PARTYCRUS,Party Cruisers Limited
HILTON,Hilton Metal Forging Limited
CASTEXTECH,Castex Technologies Limited
EMCO,Emco Limited
AHIMSA,Ahimsa Industries Limited
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited
CANDC,C & C Constructions Limited
BTML,Bodhi Tree Multimedia Limited
TNTELE,Tamilnadu Telecommunication Limited
PERFECT,Perfect Infraengineers Limited
MOHOTAIND,Mohota Industries Limited
UNITY,Unity Infraprojects Limited
SETUINFRA,Setubandhan Infrastructure Limited
MASKINVEST,Mask Investments Limited
ACEINTEG,Ace Integrated Solutions Limited
SECL,Salasar Exteriors and Contour Limited
ZENITHSTL,Zenith Steel Pipes & Industries Limited
SYNCOM,Syncom Healthcare Limited
CROWN,Crown Lifters Limited
DALALSTCOM,DSJ Communications Limited
UMESLTD,Usha Martin Education & Solutions Limited

ABINFRA,A B Infrabuild Limited
IMPEXFERRO,Impex Ferro Tech Limited
TVVISION,TV Vision Limited
VICEROY,Viceroy Hotels Limited
PAEL,PAE Limited
ABNINT,A B N Intercorp Limited
EASUNREYRL,Easun Reyrolle Limited
BSELINFRA,BSEL Infrastructure Realty Limited
DNAMEDIA,Diligent Media Corporation Limited
SKSTEXTILE,SKS Textiles Limited
BARTRONICS,Bartronics India Limited
SANCO,Sanco Industries Limited
ONELIFECAP,Onelife Capital Advisors Limited
PREMIER,Premier Limited
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
CMMIPL,CMM Infraprojects Limited
JETKNIT,Jet Knitwears Limited
MPTODAY,Madhya Pradesh Today Media Limited
EUROTEXIND,Eurotex Industries and Exports Limited
MINDPOOL,Mindpool Technologies Limited
THIRUSUGAR,Thiru Arooran Sugars Limited
RAJRAYON,Raj Rayon Industries Limited
ALPSINDUS,Alps Industries Limited
NORBTEAEXP,Norben Tea & Exports Limited
GLFL,Gujarat Lease Financing Limited
SPENTEX,Spentex Industries Limited
NIRAJISPAT,Niraj Ispat Industries Limited
DSML,Debock Sales And Marketing Limited
SECURCRED,SecUR Credentials Limited
AMJUMBO,A and M Jumbo Bags Limited
SUBCAPCITY,International Constructions Limited
ACCORD,Accord Synergy Limited
OMFURN,Omfurn India Limited
GTNTEX,GTN Textiles Limited
GFSTEELS,Grand Foundry Limited
CONTI,Continental Seeds and Chemicals Limited
TCIFINANCE,TCI Finance Limited
KALYANI,Kalyani Commercials Limited
TFL,Transwarranty Finance Limited
CREATIVEYE,Creative Eye Limited

VIJIFIN,Viji Finance Limited
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
BKMINDST,Bkm Industries Limited
JALAN,Jalan Transolutions (India) Limited
PULZ,Pulz Electronics Limited
DRL,Dhanuka Realty Limited
TANTIACONS,Tantia Constructions Limited
TRANSWIND,Transwind Infrastructures Limited
SONISOYA,Soni Soya Products Limited
BHALCHANDR,Bhalchandram Clothing Limited
GRETEX,Gretex Industries Limited
TECHIN,Techindia Nirman Limited
RADAAN,Radaan Mediaworks India Limited
SMVD,SMVD Poly Pack Limited
LAKPRE,Lakshmi Precision Screws Limited
EUROCERA,Euro Ceramics Limited
NTL,Neueon Towers Limited
RAMSARUP,Ramsarup Industries Limited
MANAV,Manav Infra Projects Limited
ARENTERP,Rajdarshan Industries Limited
POWERFUL,Powerful Technologies Limited
VASA,Vasa Retail and Overseas Ltd
JIKIND,JIK Industries Limited
THOMASCOTT,Thomas Scott (India) Limited
MELSTAR,Melstar Information Technologies Limited
ORTEL,Ortel Communications Limited
BOHRA,Bohra Industries Limited
GBGLOBAL,GB Global Limited
DCMFINSERV,DCM Financial Services Limited
GISOLUTION,GI Engineering Solutions Limited
JAINSTUDIO,Jain Studios Limited
HOTELRUGBY,Hotel Rugby Limited
SABEVENTS,Sab Events & Governance Now Media Limited
BLUECHIP,Blue Chip India Limited
ABHISHEK,Abhishek Corporation Limited
AIFL,Ashapura Intimates Fashion Limited
ALCHEM,Alchemist Limited
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
AMTEKAUTO,Amtek Auto Limited
ANTGRAPHIC,Antarctica Limited

ARCOTECH,Arcotech Limited
ASIL,Amit Spinning Industries Limited
ATCOM,Atcom Technologies Limited
ATLASCYCLE,Atlas Cycles (Haryana) Limited
ATNINTER,ATN International Limited
AUSTRAL,Austral Coke & Projects Limited
AUTOLITIND,Autolite (India) Limited
BGLOBAL,Bharatiya Global Infomedia Limited
BHARATIDIL,Bharati Defence and Infrastructure Limited
BILENERGY,Bil Energy Systems Limited
BINANIIND,Binani Industries Limited
BLUEBLENDS,Blue Blends (I) Limited
BLUECOAST,Blue Coast Hotels Limited
CCCL,Consolidated Construction Consortium Limited
CELESTIAL,Celestial Biolabs Limited
CHROMATIC,Chromatic India Limited
CKFSL,Cox & Kings Financial Service Limited
COFFEEDAY,Coffee Day Enterprises Limited
CURATECH,Cura Technologies Limited
DIGJAMLTD,Digjam Limited
DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited
DQE,DQ Entertainment (International) Limited
DSKULKARNI,DS Kulkarni Developers Limited
EASTSUGIND,Eastern Sug & Inds Limited
EON,Eon Electric Limited
ESSDEE,Ess Dee Aluminium Limited
EUROMULTI,Euro Multivision Limited
FEDDERELEC,Fedders Electric and Engineering Limited
GAMMONIND,Gammon India Limited
GANGOTRI,Gangotri Textiles Limited
GITANJALI,Gitanjali Gems Limited
GUJNRECOKE,Gujarat NRE Coke Limited
GVKPIL,GVK Power & Infrastructure Limited
HIGHGROUND,High Ground Enterprise Limited
HINDSYNTEX,Hind Syntex Limited
ICDSLTD,ICDS Limited
ICSA,ICSA (India) Limited
INDSWFTLTD,Ind-Swift Limited
INTEGRA,Integra Garments and Textiles Limited
IVRCLINFRA,IVRCL Limited

JAIHINDPRO,Jaihind Projects Limited
JINDCOT,Jindal Cotex Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
JVLAGRO,JVL Agro Industries Limited
KAVVERITEL,Kavveri Telecom Products Limited
KHAITANLTD,Khaitan (India) Limited
KOHINOOR,Kohinoor Foods Limited
KSERASERA,KSS Limited
KSK,KSK Energy Ventures Limited
KWALITY,kwality limited
LAKSHMIEFL,Lakshmi Energy and Foods Limited
LEEL,LEEL Electricals Limited
MAFATLAFIN,Mafatlal Finance Limited
MANPASAND,Manpasand Beverages Limited
METKORE,Metkore Alloys & Industries Limited
MODTHREAD,Modern Thread Limited
MVL,MVL Limited
NAKODA,Nakoda Limited
NOESISIND,Noesis Industries Limited
NUTEK,Nu Tek India Limited
OISL,OCL Iron and Steel Limited
PARABDRUGS,Parabolic Drugs Limited
PARASPETRO,Paras Petrofils Limited
PBAINFRA,PBA Infrastructure Limited
PDPL,Parenteral Drugs (India) Limited
PETRONENGG,Petron Engineering Construction Limited
PINCON,Pincon Spirit Limited
PRADIP,Pradip Overseas Limited
PRATIBHA,Pratibha Industries Limited
PROSEED,Proseed India Limited
PRUDMOULI,Prudential Sugar Corporation Limited
PSL,PSL Limited
PVP,PVP Ventures Limited
QUINTEGRA,Quintegra Solutions Limited
RAINBOWPAP,Rainbow Papers Limited
RAJVIR,Rajvir Industries Limited
REGENCERAM,Regency Ceramics Limited
RMMIL,Resurgere Mines & Minerals Limited
RUSHABEAR,Rushabh Precision Bearings Limited
SABTN,Sri Adhikari Brothers Television Network Limited

SATHAISPAT,Sathavahana Ispat Limited
SBIHOMEFIN,SBI Home Finance Limited
SELMCL,SEL Manufacturing Company Limited
SHARONBIO,Sharon Bio-Medicine Limited
SHIRPUR-G,Shirpur Gold Refinery Limited
SHLAKSHMI,Shri Lakshmi Cotsyn Limited
SHYAMTEL,Shyam Telecom Limited
SIMPLEX,Simplex Projects Limited
SITASHREE,Sita Shree Food Products Limited
SMPL,Splendid Metal Products Limited
SPCENET,Spacenet Enterprises India Limited
SRSLTD,SRS Limited
STAMPEDE,Stampede Capital Limited
STERLINBIO,Sterling Biotech Limited
STINDIA,STI India Limited
SUJANAUNI,Sujana Universal Industries Limited
SUPREMEINF,Supreme Infrastructure India Limited
TALWALKARS,Talwalkars Better Value Fitness Limited
TALWGYM,Talwalkars Healthclubs Limited
TARAPUR,Tarapur Transformers Limited
TECHNOFAB,Technofab Engineering Limited
TECILCHEM,TECIL Chemicals and Hydro Power Limited
TULSI,Tulsi Extrusions Limited
UNIPLY,Uniply Industries Limited
VALECHAENG,Valecha Engineering Limited
VALUEIND,Value Industries Limited
VIMALOIL,Vimal Oil & Foods Limited
VISESHINFO,Visesh Infotecnics Limited
VISUINTL,Visu International Limited
WINSOME,Winsome Yarns Limited
XLENERGY,XL Energy Limited
ZICOM,Zicom Electronic Security Systems Limited
SIIL,Supreme (India) Impex Limited
OPAL,Opal Luxury Time Products Limited
FIVECORE,Five Core Electronics Limited
PUSHPREALM,Pushpanjali Realms and Infratech Limited
CKPLEISURE,CKP Leisure Limited
CKPPRODUCT,CKP Products Limited
FOURTHDIM,Fourth Dimension Solutions Limited
ARTEDZ,Artedz Fabs Limited
